# nucleation.lammpstrj nframes 148 last 148 stride 1
# frame nop chill_cubic chill_hex chill_interfacial chill_clathrate chill_interclathrate chill_water chill_ice chill_max chill_clus cut_ice cut_max cut_clus seed_ih seed_ic seed_both seed_ice seed_max seed_clus
1 4096 48 67 273 49 305 3354 115 62 47 346 197 12 141 98 41 280 191 6
2 4096 53 65 269 39 324 3346 118 67 48 362 212 11 139 106 42 287 202 7
3 4096 44 74 262 45 324 3347 118 71 45 438 174 15 118 126 47 291 192 6
4 4096 59 69 261 34 361 3312 128 77 47 360 274 8 103 160 45 308 268 4
5 4096 57 67 295 34 335 3308 124 65 51 419 236 13 100 185 51 336 272 5
6 4096 55 65 251 43 348 3334 120 82 34 350 246 7 112 132 71 315 234 5
7 4096 59 68 277 42 321 3329 127 81 40 405 309 9 182 105 73 360 287 4
8 4096 58 74 218 46 302 3398 132 80 49 297 237 6 144 111 65 320 282 4
9 4096 59 63 255 41 373 3305 122 84 39 308 248 6 139 106 70 315 279 4
10 4096 57 61 243 61 316 3358 118 83 34 413 277 11 179 124 91 394 308 6
11 4096 52 74 266 48 371 3285 126 78 45 457 267 11 159 143 73 375 245 8
12 4096 54 71 240 57 356 3318 125 84 37 394 242 11 146 133 75 354 290 5
13 4096 50 72 238 37 370 3329 122 87 33 335 241 7 105 97 75 277 251 3
14 4096 62 81 212 51 367 3323 143 102 39 338 240 9 141 76 66 283 247 4
15 4096 58 73 253 44 373 3295 131 88 39 390 270 9 139 124 63 326 265 5
16 4096 60 80 231 67 384 3274 140 98 39 412 280 12 136 113 69 318 264 4
17 4096 65 85 285 44 382 3235 150 98 51 455 288 14 224 103 89 416 301 9
18 4096 64 92 275 49 390 3226 156 108 43 447 335 7 177 110 80 367 305 4
19 4096 56 86 275 65 370 3244 142 100 42 391 287 8 131 93 86 310 264 4
20 4096 59 97 271 39 347 3283 156 99 44 384 295 6 184 83 84 351 298 3
21 4096 59 79 257 36 340 3325 138 97 35 426 272 11 153 110 76 339 279 5
22 4096 66 79 264 46 345 3296 145 94 39 411 305 6 179 108 85 372 285 7
23 4096 71 107 313 44 364 3197 178 110 56 439 290 9 136 178 100 414 293 8
24 4096 64 91 282 58 375 3226 155 104 38 438 284 12 105 148 96 349 271 4
25 4096 62 98 311 47 343 3235 160 99 50 423 271 9 227 85 87 399 279 7
26 4096 61 99 278 38 352 3268 160 107 49 470 283 11 204 88 93 385 270 6
27 4096 63 90 263 52 351 3277 153 114 33 386 249 8 156 110 97 363 262 7
28 4096 60 79 280 59 370 3248 139 98 36 383 263 8 152 107 85 344 249 6
29 4096 55 87 256 45 367 3286 142 94 45 375 267 9 146 95 87 328 278 4
30 4096 61 96 277 47 368 3247 157 102 48 441 289 11 210 98 90 398 312 5
31 4096 63 101 281 39 336 3276 164 101 51 440 295 9 252 91 96 439 304 7
32 4096 61 92 286 26 331 3300 153 102 45 451 293 13 233 76 87 396 290 7
33 4096 61 99 261 59 343 3273 160 102 50 411 307 8 159 62 87 308 272 3
34 4096 51 87 261 45 337 3315 138 98 39 388 272 10 145 58 91 294 270 3
35 4096 59 91 285 51 372 3238 150 103 41 429 276 10 194 79 97 370 293 5
36 4096 61 93 272 36 328 3306 154 102 45 413 253 11 203 90 84 377 275 7
37 4096 62 93 266 48 342 3285 155 105 42 388 276 7 168 76 86 330 272 4
38 4096 58 83 254 36 353 3312 141 94 40 386 276 10 130 84 95 309 267 3
39 4096 68 76 245 47 377 3283 144 106 35 439 299 10 169 109 102 380 296 6
40 4096 63 85 287 43 374 3244 148 105 38 446 314 8 161 79 95 335 301 3
41 4096 67 84 239 45 358 3303 151 104 42 374 288 8 160 76 104 340 328 2
42 4096 73 87 240 33 356 3307 160 117 42 431 283 12 169 114 103 386 298 6
43 4096 71 88 243 60 366 3268 159 116 37 399 325 7 147 95 104 346 308 4
44 4096 75 85 214 45 381 3296 160 121 38 459 303 10 243 107 111 461 327 9
45 4096 73 92 227 43 412 3249 165 123 36 446 340 7 162 140 114 416 334 5
46 4096 78 87 247 50 386 3248 165 128 29 487 415 5 149 160 131 440 398 3
47 4096 86 96 265 44 377 3228 182 138 43 530 382 13 195 155 136 486 386 7
48 4096 84 87 237 41 370 3277 171 137 32 455 341 10 129 158 124 411 353 4
49 4096 75 87 228 51 362 3293 162 133 27 477 325 9 146 132 120 398 338 5
50 4096 84 91 238 53 385 3245 175 141 34 451 343 8 122 149 131 402 364 3
51 4096 70 99 221 56 376 3274 169 129 34 479 333 9 126 140 121 387 341 4
52 4096 66 104 257 56 341 3272 170 131 38 397 337 5 165 112 108 385 323 5
53 4096 74 117 252 47 333 3273 191 149 38 562 362 13 180 108 131 419 357 5
54 4096 67 91 275 48 347 3268 158 125 31 485 341 11 197 115 108 420 314 8
55 4096 71 105 273 40 348 3259 176 127 43 475 357 10 191 109 107 407 333 6
56 4096 70 104 271 46 365 3240 174 129 39 521 403 7 202 103 138 443 381 3
57 4096 72 104 236 45 343 3296 176 135 39 496 409 8 173 116 132 421 367 4
58 4096 77 104 317 39 338 3221 181 134 42 515 349 12 178 113 114 405 357 4
59 4096 80 110 286 45 329 3246 190 142 41 501 348 11 185 143 113 441 349 6
60 4096 83 109 275 47 370 3212 192 143 43 523 377 8 151 172 135 458 378 4
61 4096 87 111 258 39 379 3222 198 153 36 454 356 7 136 153 139 428 381 3
62 4096 80 106 280 49 376 3205 186 150 34 535 397 11 138 205 137 480 382 7
63 4096 85 122 284 46 349 3210 207 154 45 512 388 9 181 137 153 471 405 4
64 4096 92 107 273 56 359 3209 199 152 46 519 403 8 147 178 148 473 399 4
65 4096 89 110 270 41 351 3235 199 145 44 544 422 10 164 145 143 452 398 4
66 4096 87 111 294 51 372 3181 198 155 35 552 458 8 188 164 165 517 440 4
67 4096 85 110 300 52 316 3233 195 152 32 568 428 10 212 144 161 517 445 4
68 4096 98 130 319 36 347 3166 228 170 52 604 486 9 277 154 157 588 466 7
69 4096 104 117 271 58 358 3188 221 171 42 578 473 7 218 176 181 575 463 5
70 4096 97 130 312 35 370 3152 227 175 39 597 495 7 162 216 200 578 488 5
71 4096 101 125 325 54 333 3158 226 160 55 584 440 8 168 205 174 547 463 6
72 4096 96 139 318 34 319 3190 235 174 53 606 434 13 166 144 190 500 420 5
73 4096 89 124 345 41 340 3157 213 174 33 615 450 11 157 149 187 493 461 3
74 4096 96 118 319 41 338 3184 214 146 45 551 426 8 136 205 179 520 432 5
75 4096 109 138 315 44 366 3124 247 178 60 608 445 9 203 181 169 553 426 7
76 4096 99 120 296 40 361 3180 219 164 38 615 459 9 217 153 176 546 450 5
77 4096 106 139 307 52 329 3163 245 192 49 599 489 9 201 166 192 559 501 5
78 4096 114 135 325 52 346 3124 249 184 57 609 483 9 211 170 204 585 517 4
79 4096 96 129 296 38 341 3196 225 177 41 578 448 8 203 143 180 526 468 4
80 4096 103 135 356 48 343 3111 238 178 47 567 457 6 198 191 203 592 478 7
