# Critical-nucleus-analysis-growing nframes 801 last 801 stride 10
# frame nop chill_cubic chill_hex chill_interfacial chill_clathrate chill_interclathrate chill_water chill_ice chill_max chill_clus cut_ice cut_max cut_clus seed_ih seed_ic seed_both seed_ice seed_max seed_clus
1 2880 88 78 163 23 190 2338 166 154 12 475 373 9 88 159 176 423 371 5
11 2880 103 94 161 34 221 2267 197 178 20 396 384 2 73 143 179 395 383 2
21 2880 93 99 200 15 209 2264 192 161 31 468 444 3 102 163 182 447 423 3
31 2880 116 90 230 25 221 2198 206 178 25 493 421 7 102 166 189 457 409 5
41 2880 107 90 217 24 214 2228 197 172 25 479 449 3 104 188 185 477 447 3
51 2880 95 94 261 22 185 2223 189 157 28 504 426 6 125 168 193 486 420 5
61 2880 103 105 206 22 204 2240 208 177 28 493 467 3 114 170 189 473 473 1
71 2880 113 101 234 25 192 2215 214 179 32 470 398 5 110 174 181 465 439 3
81 2880 92 88 202 25 221 2252 180 161 20 450 438 2 90 169 171 430 430 1
91 2880 103 86 241 16 210 2224 189 161 27 480 408 5 129 188 175 492 408 6
101 2880 104 101 202 22 214 2237 205 182 24 475 401 5 69 207 187 463 401 4
111 2880 104 87 197 26 225 2241 191 167 23 404 366 4 69 208 161 438 370 6
121 2880 91 94 230 30 217 2218 185 162 24 391 365 3 73 165 176 414 374 4
131 2880 89 95 237 12 217 2230 184 158 25 413 389 3 86 163 181 430 418 2
141 2880 114 107 255 23 239 2142 221 191 30 502 446 5 65 216 204 485 465 2
151 2880 111 105 244 20 199 2201 216 187 28 461 413 5 112 147 201 460 424 4
161 2880 112 107 226 17 190 2228 219 184 34 483 401 6 97 195 204 496 426 6
171 2880 121 107 240 17 177 2218 228 194 33 549 492 5 107 217 206 530 498 3
181 2880 109 96 241 22 166 2246 205 180 25 408 382 3 68 195 176 439 413 3
191 2880 108 108 266 20 184 2194 216 182 27 488 406 5 57 200 175 432 400 2
201 2880 103 106 240 27 161 2243 209 173 30 460 404 4 72 202 187 461 406 3
211 2880 114 110 243 18 195 2200 224 195 28 476 426 5 82 194 184 460 422 4
221 2880 118 110 260 28 200 2164 228 191 34 526 449 6 124 211 189 524 446 6
231 2880 112 116 235 26 192 2199 228 190 33 513 439 7 107 203 189 499 449 5
241 2880 109 111 214 24 212 2210 220 198 22 452 414 4 84 198 194 476 450 3
251 2880 122 119 224 18 206 2191 241 211 27 456 408 5 72 194 179 445 419 3
261 2880 119 117 218 23 197 2206 236 216 21 422 410 2 58 169 188 415 415 1
271 2880 118 126 219 23 203 2191 244 216 26 476 438 4 83 173 201 457 431 3
281 2880 115 107 214 18 229 2197 222 197 18 513 431 6 133 176 191 500 442 4
291 2880 124 117 213 32 230 2164 241 217 23 468 444 3 84 202 190 476 452 3
301 2880 131 115 221 20 183 2210 246 217 23 496 472 3 106 212 197 515 479 4
311 2880 112 119 272 20 207 2150 231 190 39 508 436 6 105 215 200 520 496 3
321 2880 110 114 210 17 209 2220 224 204 19 508 472 4 66 238 182 486 474 2
331 2880 134 119 237 20 207 2163 253 224 27 484 472 2 67 215 203 485 485 1
341 2880 120 112 236 20 200 2192 232 211 22 552 490 6 82 222 198 502 478 3
351 2880 133 105 232 31 207 2172 238 221 18 549 479 5 147 231 211 589 507 6
361 2880 124 120 231 23 201 2181 244 217 28 546 474 6 109 189 196 494 470 3
371 2880 124 120 220 24 196 2196 244 221 22 477 441 4 99 188 191 478 442 4
381 2880 133 118 255 25 206 2143 251 225 25 554 518 4 127 227 215 569 521 5
391 2880 122 124 260 29 200 2145 246 211 35 555 507 5 146 229 206 581 519 6
401 2880 139 117 247 25 213 2139 256 240 17 546 498 5 101 219 223 543 531 2
411 2880 132 116 237 11 193 2191 248 214 31 535 535 1 103 223 201 527 527 1
421 2880 130 118 208 21 206 2197 248 229 19 513 489 3 95 210 195 500 476 3
431 2880 138 111 247 20 190 2174 249 233 17 564 501 4 119 238 201 558 496 6
441 2880 146 122 229 15 178 2190 268 243 23 554 514 4 73 297 215 585 527 5
451 2880 142 127 215 24 192 2180 269 248 19 549 499 5 80 250 216 546 492 5
461 2880 138 119 242 21 181 2179 257 235 22 481 481 1 64 206 214 484 484 1
471 2880 135 126 225 17 214 2163 261 236 26 539 494 4 101 229 211 541 517 3
481 2880 151 136 239 26 202 2126 287 263 21 571 535 4 129 213 211 553 529 3
491 2880 139 133 242 23 199 2144 272 241 29 523 477 4 78 191 225 494 482 2
501 2880 143 135 249 31 188 2134 278 253 21 564 516 5 130 192 233 555 497 4
511 2880 149 136 248 28 168 2151 285 264 21 575 543 3 116 241 242 599 539 5
521 2880 154 131 276 22 161 2136 285 265 21 621 551 6 116 257 237 610 540 6
531 2880 156 141 255 23 169 2136 297 272 26 587 527 6 122 213 232 567 531 4
541 2880 159 136 239 20 167 2159 295 272 23 571 541 3 106 239 236 581 551 3
551 2880 156 142 252 20 182 2128 298 263 31 595 559 4 106 241 246 593 569 3
561 2880 147 131 261 23 174 2144 278 249 28 610 572 4 133 227 226 586 548 4
571 2880 141 123 269 29 174 2144 264 236 25 605 556 3 147 246 229 622 569 3
581 2880 153 145 261 16 195 2110 298 259 37 606 533 6 139 247 225 611 534 6
591 2880 153 135 274 28 180 2110 288 257 28 600 540 6 146 223 224 593 533 6
601 2880 158 138 266 25 169 2124 296 262 33 619 545 7 132 273 218 623 549 7
611 2880 146 126 294 24 184 2106 272 244 28 570 510 6 106 239 218 563 515 5
621 2880 151 146 264 32 186 2101 297 270 25 620 570 5 141 244 240 625 575 5
631 2880 151 135 267 23 170 2134 286 265 21 624 540 7 153 269 247 669 543 6
641 2880 155 138 242 18 171 2156 293 266 24 587 563 3 132 222 247 601 555 4
651 2880 142 140 254 17 182 2145 282 252 29 609 597 2 144 221 245 610 531 4
661 2880 155 145 276 25 168 2111 300 267 32 634 585 5 103 242 253 598 574 3
671 2880 141 130 277 23 187 2122 271 240 32 611 563 5 154 241 240 635 567 6
681 2880 152 142 271 16 186 2113 294 252 36 607 547 6 132 228 236 596 560 4
691 2880 157 136 308 16 149 2114 293 262 27 652 602 5 153 258 271 682 614 6
701 2880 162 147 274 22 175 2100 309 277 29 608 584 3 106 247 255 608 584 3
711 2880 158 147 281 18 188 2088 305 274 31 672 620 5 147 255 268 670 630 4
721 2880 175 148 275 21 187 2074 323 290 28 650 624 3 131 283 286 700 662 4
731 2880 186 156 271 23 194 2050 342 305 35 702 678 3 111 269 291 671 645 3
741 2880 190 167 281 24 190 2028 357 310 36 716 667 4 124 307 301 732 686 4
751 2880 194 176 307 16 190 1997 370 320 38 754 664 8 119 322 295 736 694 4
761 2880 187 149 278 18 173 2075 336 309 24 753 731 2 125 327 292 744 710 3
771 2880 182 154 304 20 171 2049 336 303 27 693 693 1 120 308 273 701 701 1
781 2880 176 136 277 20 176 2095 312 288 23 745 721 3 119 323 277 719 707 2
791 2880 169 144 313 19 167 2068 313 281 33 689 665 3 123 269 275 667 643 3
801 2880 168 161 288 17 166 2080 329 295 30 718 642 6 133 291 274 698 660 4
