# Critical-nucleus-analysis-melting nframes 1001 last 1001 stride 10
# frame nop chill_cubic chill_hex chill_interfacial chill_clathrate chill_interclathrate chill_water chill_ice chill_max chill_clus cut_ice cut_max cut_clus seed_ih seed_ic seed_both seed_ice seed_max seed_clus
1 2880 85 83 161 20 217 2314 168 151 16 418 340 7 81 196 159 436 384 5
11 2880 86 90 182 36 224 2262 176 153 24 379 355 3 87 172 153 412 362 4
21 2880 86 74 176 28 205 2311 160 148 12 369 331 4 66 164 144 374 334 4
31 2880 74 93 184 29 203 2297 167 146 20 439 334 7 114 144 133 391 331 5
41 2880 75 77 195 33 237 2263 152 134 18 345 283 6 108 114 132 354 292 6
51 2880 74 99 187 23 236 2261 173 146 24 373 325 5 85 116 140 341 329 2
61 2880 79 86 195 23 205 2292 165 143 22 380 298 5 65 155 132 352 308 4
71 2880 72 86 171 27 192 2332 158 133 22 404 298 9 130 164 121 415 325 8
81 2880 79 91 190 20 220 2280 170 145 25 423 332 5 155 144 142 441 357 5
91 2880 79 93 215 25 201 2267 172 137 32 393 357 4 138 123 134 395 371 3
101 2880 75 87 201 27 188 2302 162 135 24 424 350 5 100 217 135 452 366 6
111 2880 86 94 221 24 192 2263 180 157 23 571 439 10 199 222 164 585 459 10
121 2880 86 104 204 22 172 2292 190 160 30 482 396 7 127 180 144 451 401 5
131 2880 71 99 222 23 195 2270 170 142 27 444 347 7 160 159 141 460 362 8
141 2880 80 96 212 20 196 2276 176 138 36 400 376 3 111 170 133 414 362 4
151 2880 90 94 212 31 212 2241 184 145 35 360 322 4 105 137 129 371 333 4
161 2880 76 88 190 33 235 2258 164 134 29 359 312 4 131 128 124 383 324 5
171 2880 69 86 236 20 195 2274 155 107 44 344 306 4 86 149 102 337 299 4
181 2880 73 72 211 20 193 2311 145 112 32 356 294 6 117 136 103 356 294 6
191 2880 57 75 239 17 217 2275 132 101 30 355 283 7 128 123 110 361 301 6
201 2880 61 81 204 16 195 2323 142 111 29 372 280 7 125 167 113 405 315 7
211 2880 70 85 219 22 220 2264 155 121 31 378 292 5 146 133 116 395 321 4
221 2880 65 89 241 15 201 2269 154 112 40 398 374 3 168 124 122 414 366 5
231 2880 70 80 204 19 202 2305 150 120 27 340 328 2 92 115 120 327 303 3
241 2880 72 85 237 11 181 2294 157 113 39 423 337 8 112 130 118 360 312 5
251 2880 79 91 242 17 165 2286 170 124 37 382 320 6 118 159 120 397 321 7
261 2880 68 79 227 18 183 2305 147 116 29 445 321 8 146 135 119 400 294 7
271 2880 68 92 199 15 177 2329 160 126 29 351 280 6 105 123 115 343 281 6
281 2880 71 82 196 19 183 2329 153 125 24 332 296 4 72 135 118 325 301 3
291 2880 65 81 224 20 169 2321 146 111 29 334 312 2 95 133 127 355 355 1
301 2880 59 74 221 27 216 2283 133 103 26 296 272 3 79 123 113 315 291 3
311 2880 63 90 208 21 189 2309 153 118 31 357 309 4 122 116 124 362 314 4
321 2880 74 83 246 15 196 2266 157 116 32 397 349 5 140 135 125 400 352 5
331 2880 55 78 233 26 193 2295 133 100 32 363 291 7 143 123 127 393 314 6
341 2880 57 73 230 21 185 2314 130 102 23 420 360 6 176 136 122 434 362 7
351 2880 61 87 231 31 193 2277 148 109 32 410 302 8 123 170 121 414 305 8
361 2880 60 89 245 22 209 2255 149 108 33 410 299 9 148 165 126 439 319 9
371 2880 58 87 234 22 197 2282 145 105 39 367 266 7 150 141 118 409 270 9
381 2880 50 72 253 15 195 2295 122 92 29 408 268 8 153 154 101 408 267 8
391 2880 50 85 238 17 176 2314 135 95 39 382 275 8 175 126 112 413 285 8
401 2880 49 66 212 21 179 2353 115 84 25 361 272 6 145 130 98 373 276 7
411 2880 42 82 253 24 197 2282 124 86 36 382 282 9 124 140 99 363 287 7
421 2880 47 84 247 10 190 2302 131 86 38 426 265 9 204 129 108 441 268 9
431 2880 49 86 257 20 211 2257 135 93 40 418 274 7 166 140 115 421 290 7
441 2880 35 59 211 14 204 2357 94 63 27 313 225 7 136 97 96 329 231 8
451 2880 36 74 248 19 199 2304 110 77 31 369 275 8 154 121 111 386 304 7
461 2880 42 74 233 22 192 2317 116 80 33 294 227 5 164 91 97 352 252 7
471 2880 47 78 220 18 223 2294 125 75 44 371 250 8 122 112 114 348 265 4
481 2880 44 66 221 27 244 2278 110 65 41 353 278 7 132 106 96 334 260 7
491 2880 38 77 229 22 201 2313 115 64 41 394 259 9 106 143 98 347 226 6
501 2880 32 67 195 21 202 2363 99 64 31 333 210 8 182 80 84 346 212 8
511 2880 31 62 160 28 219 2380 93 66 26 251 183 5 93 68 86 247 179 5
521 2880 26 49 149 21 233 2402 75 44 27 246 178 6 123 67 84 274 194 7
531 2880 19 42 157 29 213 2420 61 37 23 249 165 6 105 62 64 231 167 6
541 2880 23 58 204 19 205 2371 81 40 38 263 171 8 130 62 72 264 172 8
551 2880 25 55 193 22 217 2368 80 52 28 266 174 7 121 68 65 254 174 6
561 2880 30 67 184 28 212 2359 97 60 32 291 175 8 107 130 77 314 175 10
571 2880 33 61 194 29 232 2331 94 69 22 323 173 10 166 82 63 311 175 10
581 2880 29 63 217 18 206 2347 92 50 38 354 214 10 163 114 84 361 210 8
591 2880 29 58 185 33 200 2375 87 46 31 251 165 6 110 66 75 251 165 6
601 2880 31 46 176 32 201 2394 77 44 27 323 187 9 121 116 68 305 195 7
611 2880 21 50 195 23 225 2366 71 37 24 296 162 8 140 99 63 302 218 5
621 2880 17 37 190 33 206 2397 54 10 31 245 155 6 115 71 55 241 165 4
631 2880 14 45 162 30 203 2426 59 27 29 238 152 6 114 70 42 226 152 5
641 2880 14 41 149 29 205 2442 55 22 30 284 179 5 180 56 52 288 179 7
651 2880 15 48 171 20 186 2440 63 19 23 243 154 8 100 110 34 244 168 7
661 2880 17 36 200 21 208 2398 53 14 30 268 116 9 203 91 33 327 149 11
671 2880 14 49 199 23 198 2397 63 16 35 313 123 12 186 104 37 327 127 12
681 2880 17 49 233 14 174 2393 66 17 39 309 135 13 197 117 42 356 164 14
691 2880 21 57 201 34 202 2365 78 23 43 277 141 9 127 78 48 253 141 8
701 2880 14 47 147 20 206 2446 61 17 38 226 118 10 157 27 37 221 137 8
711 2880 17 45 142 18 220 2438 62 30 31 177 105 6 102 42 33 177 105 7
721 2880 11 44 136 27 227 2435 55 27 29 140 116 3 75 30 36 141 117 3
731 2880 11 37 141 23 229 2439 48 16 27 139 79 6 66 18 30 114 90 3
741 2880 14 33 134 24 230 2445 47 14 27 168 92 7 60 38 32 130 92 4
751 2880 9 29 126 19 214 2483 38 17 20 133 73 6 41 19 25 85 73 2
761 2880 7 42 147 34 231 2419 49 13 32 183 79 8 85 71 21 177 73 8
771 2880 6 34 141 25 251 2423 40 11 29 122 60 5 88 0 0 88 52 4
781 2880 8 35 127 19 236 2455 43 14 25 152 70 6 94 44 0 138 70 5
791 2880 7 37 124 22 235 2455 44 5 35 167 26 10 111 48 6 165 32 9
801 2880 7 38 152 36 200 2447 45 4 40 124 26 8 122 32 0 154 44 9
811 2880 5 28 125 23 235 2464 33 2 29 104 24 7 92 0 0 92 24 6
821 2880 10 24 147 25 226 2448 34 3 28 144 32 9 152 5 9 166 32 9
831 2880 8 28 146 26 219 2453 36 2 32 194 68 10 124 74 8 206 80 10
841 2880 10 28 144 28 197 2473 38 3 36 162 40 10 110 50 6 166 40 9
851 2880 1 21 127 35 198 2498 22 3 19 132 28 8 44 70 0 114 20 8
861 2880 3 22 97 33 240 2485 25 2 23 48 22 3 24 22 0 46 22 3
871 2880 2 25 126 23 226 2478 27 2 25 118 34 8 72 30 12 114 34 7
881 2880 6 19 123 32 194 2506 25 3 21 84 12 7 78 8 6 92 20 7
891 2880 7 23 147 19 228 2456 30 3 27 119 23 9 92 0 0 92 20 7
901 2880 11 17 102 31 245 2474 28 2 24 107 23 7 92 28 0 120 24 8
911 2880 8 23 145 31 248 2425 31 2 29 165 24 11 141 23 9 173 36 10
