# Nucleation_trajectory-1 nframes 1001 last 1001 stride 10
# frame nop chill_cubic chill_hex chill_interfacial chill_clathrate chill_interclathrate chill_water chill_ice chill_max chill_clus cut_ice cut_max cut_clus seed_ih seed_ic seed_both seed_ice seed_max seed_clus
1 17 0 1 1 0 0 15 1 1 1 0 0 0 0 0 0 0 0 0
11 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
21 17 0 0 0 0 0 17 0 0 0 0 0 0 0 0 0 0 0 0
31 17 0 0 0 0 0 17 0 0 0 0 0 0 0 0 0 0 0 0
41 17 0 1 0 0 0 16 1 1 1 0 0 0 0 0 0 0 0 0
51 17 0 0 0 0 0 17 0 0 0 0 0 0 0 0 0 0 0 0
61 34 0 0 0 0 0 34 0 0 0 0 0 0 0 0 0 0 0 0
71 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
81 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
91 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
101 17 1 0 1 0 0 15 1 1 1 0 0 0 0 0 0 0 0 0
111 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
121 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
131 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
141 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
151 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
161 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
171 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
181 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
191 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
201 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
211 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
221 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
231 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
241 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
251 17 1 0 1 0 0 15 1 1 1 0 0 0 0 0 0 0 0 0
261 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
271 17 1 0 1 0 0 15 1 1 1 0 0 0 0 0 0 0 0 0
281 80 4 6 14 0 0 56 10 8 3 42 42 1 16 8 10 34 34 1
291 125 8 19 18 0 0 80 27 26 2 61 61 1 35 13 13 61 61 1
301 104 5 15 20 0 0 64 20 19 2 62 62 1 25 20 14 59 59 1
311 211 22 45 29 0 0 115 67 64 4 125 125 1 70 22 38 130 130 1
321 244 27 41 40 0 0 136 68 60 9 128 128 1 54 56 27 137 137 1
331 231 20 48 41 0 0 122 68 66 3 147 147 1 69 41 22 132 132 1
341 261 30 48 49 0 0 134 78 73 4 174 174 1 87 51 32 170 170 1
351 205 25 38 39 0 0 103 63 61 3 134 134 1 52 36 33 121 121 1
361 182 19 35 25 0 0 103 54 54 1 110 110 1 52 43 22 117 117 1
371 172 11 39 26 0 0 96 50 50 1 130 130 1 93 12 14 119 119 1
381 190 18 47 30 0 0 95 65 65 1 137 137 1 90 32 19 141 141 1
391 384 81 83 62 0 0 158 164 164 1 308 308 1 96 134 67 297 297 1
401 425 107 89 61 0 1 167 196 195 2 337 337 1 101 184 58 343 343 1
411 446 103 99 68 0 0 176 202 201 2 351 351 1 109 161 81 351 351 1
421 484 114 98 73 0 0 199 212 210 3 391 391 1 137 174 90 401 401 1
431 472 105 93 75 0 0 199 198 194 4 385 385 1 135 175 73 383 383 1
441 598 145 135 95 0 2 221 280 279 2 482 482 1 160 217 109 486 486 1
451 758 213 230 80 0 1 234 443 442 2 681 681 1 234 231 215 680 680 1
461 777 219 233 96 0 0 229 452 452 1 682 682 1 246 231 195 672 672 1
471 819 225 251 89 0 0 254 476 475 2 695 695 1 261 219 230 710 710 1
481 760 209 218 96 0 1 236 427 427 1 667 667 1 219 236 208 663 663 1
491 825 228 255 100 0 0 242 483 483 1 731 731 1 248 254 226 728 728 1
501 778 203 240 96 0 0 239 443 443 1 682 682 1 271 200 200 671 671 1
511 781 201 248 90 0 1 241 449 449 1 677 677 1 243 226 198 667 667 1
521 775 197 228 101 0 0 249 425 423 3 664 664 1 231 217 211 659 659 1
531 769 201 230 96 0 1 241 431 431 1 669 669 1 251 201 217 669 669 1
541 735 179 233 94 0 0 229 412 411 2 630 630 1 254 190 194 638 638 1
551 925 255 297 111 0 0 262 552 551 2 810 810 1 235 264 317 816 816 1
561 1027 291 358 128 0 0 250 649 649 1 935 935 1 273 222 438 933 933 1
571 1079 307 371 137 1 2 261 678 671 5 952 952 1 260 248 458 966 966 1
581 1143 328 382 160 1 1 271 710 707 4 1028 1028 1 276 257 510 1043 1043 1
591 1246 360 464 160 0 0 262 824 820 5 1139 1139 1 366 224 557 1147 1147 1
601 1256 360 468 169 0 1 258 828 824 5 1156 1156 1 414 207 550 1171 1171 1
611 1244 377 490 150 0 0 227 867 865 2 1158 1158 1 387 240 537 1164 1164 1
621 1243 384 519 121 0 0 219 903 899 5 1176 1176 1 407 215 558 1180 1180 1
631 1245 401 515 113 0 0 216 916 912 5 1172 1172 1 390 233 551 1174 1174 1
641 1256 410 529 111 0 0 206 939 938 2 1174 1174 1 402 222 558 1182 1182 1
651 1287 429 542 119 0 0 197 971 971 1 1199 1199 1 406 215 583 1204 1204 1
661 1266 412 523 119 0 1 211 935 935 1 1178 1178 1 415 219 547 1181 1181 1
671 1260 416 520 118 0 1 205 936 935 2 1183 1183 1 410 228 556 1194 1194 1
681 1266 399 515 141 0 2 209 914 912 3 1188 1188 1 405 228 554 1187 1187 1
691 1273 414 530 122 0 0 207 944 944 1 1190 1190 1 412 218 568 1198 1198 1
701 1253 411 528 101 0 0 213 939 939 1 1179 1179 1 406 236 537 1179 1179 1
711 1264 423 518 121 0 1 201 941 941 1 1185 1185 1 400 217 569 1186 1186 1
721 1270 426 556 90 0 1 197 982 982 1 1200 1200 1 416 210 583 1209 1209 1
731 1259 419 532 101 0 1 206 951 951 1 1198 1198 1 405 230 566 1201 1201 1
741 1253 424 531 103 0 2 193 955 955 1 1195 1195 1 404 225 571 1200 1200 1
751 1246 422 517 101 0 1 205 939 939 1 1192 1192 1 407 219 563 1189 1189 1
761 1266 425 540 95 1 2 203 965 965 1 1196 1196 1 401 224 568 1193 1193 1
