# Nucleation_trajectory-2 nframes 1001 last 1001 stride 10
# frame nop chill_cubic chill_hex chill_interfacial chill_clathrate chill_interclathrate chill_water chill_ice chill_max chill_clus cut_ice cut_max cut_clus seed_ih seed_ic seed_both seed_ice seed_max seed_clus
1 2880 0 2 6 85 463 2324 2 1 2 24 12 2 24 0 0 24 12 2
11 2880 0 1 0 82 512 2285 1 1 1 24 12 2 0 0 0 0 0 0
21 2880 0 1 7 63 403 2406 1 1 1 24 12 2 12 0 0 12 12 1
31 2880 0 2 2 50 404 2422 2 1 2 26 14 2 12 14 0 26 14 2
41 2880 0 2 5 90 387 2396 2 1 2 36 12 3 12 0 0 12 12 1
51 2880 0 3 4 62 437 2374 3 1 3 0 0 0 0 14 0 14 14 1
61 2880 0 1 0 94 460 2325 1 1 1 12 12 1 0 0 0 0 0 0
71 2880 1 2 8 93 436 2340 3 1 3 36 12 3 21 0 0 21 21 1
81 2880 0 0 0 92 444 2344 0 0 0 12 12 1 0 0 0 0 0 0
91 2880 1 1 2 83 491 2302 2 1 2 0 0 0 12 0 0 12 12 1
101 2880 0 9 19 60 364 2428 9 1 9 36 12 3 24 0 0 24 12 2
111 2880 3 14 58 45 301 2459 17 2 15 108 24 7 36 32 0 68 18 5
121 2880 1 3 18 85 429 2344 4 1 4 24 12 2 12 0 0 12 12 1
131 2880 0 0 1 128 551 2200 0 0 0 24 12 2 0 0 0 0 0 0
141 2880 0 2 3 55 398 2422 2 1 2 24 12 2 0 0 0 0 0 0
151 2880 1 6 23 50 383 2417 7 1 7 36 24 2 36 0 0 36 24 2
161 2880 0 3 6 66 456 2349 3 1 3 36 12 3 0 0 0 0 0 0
171 2880 0 0 2 114 502 2262 0 0 0 0 0 0 0 0 0 0 0 0
181 2880 0 1 7 85 492 2295 1 1 1 26 26 1 23 0 0 23 23 1
191 2880 0 0 5 106 435 2334 0 0 0 24 12 2 12 0 0 12 12 1
201 2880 0 0 2 144 595 2139 0 0 0 35 13 3 0 0 0 0 0 0
211 2880 1 13 49 78 343 2396 14 2 13 90 14 7 24 46 0 70 32 4
221 2880 14 25 124 25 285 2407 39 3 25 184 150 3 42 92 28 162 162 1
231 2880 13 23 123 35 304 2382 36 5 28 188 54 9 76 102 6 184 54 9
241 2880 5 20 111 29 230 2485 25 2 23 120 26 6 58 102 0 160 28 7
251 2880 4 20 150 25 232 2449 24 2 22 171 39 9 49 115 7 171 39 8
261 2880 14 32 181 22 214 2417 46 5 33 159 39 8 47 97 9 153 39 7
271 2880 10 33 173 22 224 2418 43 5 33 228 47 10 87 115 13 215 48 9
281 2880 16 37 194 15 227 2391 53 11 29 187 41 9 84 108 10 202 48 7
291 2880 11 29 185 19 183 2453 40 7 25 241 51 10 147 64 2 213 61 8
301 2880 10 17 107 46 286 2414 27 5 19 114 38 7 55 59 13 127 63 6
311 2880 0 1 10 77 415 2377 1 1 1 24 12 2 12 0 0 12 12 1
321 2880 0 0 0 128 562 2190 0 0 0 12 12 1 0 0 0 0 0 0
331 2880 3 3 33 82 413 2346 6 2 5 72 26 4 0 44 0 44 22 2
341 2880 8 13 70 70 343 2376 21 6 13 167 59 9 86 85 14 185 101 5
351 2880 28 22 73 60 316 2381 50 30 16 186 150 4 16 86 46 148 136 2
361 2880 60 43 132 46 363 2236 103 87 15 299 287 2 25 177 97 299 299 1
371 2880 138 72 192 69 370 2039 210 182 17 532 520 2 40 379 146 565 565 1
381 2880 455 193 315 52 265 1600 648 626 16 1162 1162 1 62 777 377 1216 1204 2
391 2880 462 220 317 24 197 1660 682 650 25 1169 1157 2 96 653 415 1164 1164 1
401 2880 526 227 345 25 146 1611 753 733 18 1263 1227 4 121 715 421 1257 1245 2
411 2880 484 205 343 13 149 1686 689 664 25 1161 1149 2 126 668 399 1193 1193 1
421 2880 487 230 360 21 133 1649 717 684 29 1188 1164 3 160 655 377 1192 1168 3
431 2880 494 219 357 20 112 1678 713 688 22 1219 1189 3 199 650 384 1233 1191 4
441 2880 426 192 350 26 158 1728 618 598 19 1204 1192 2 174 631 397 1202 1172 3
451 2880 478 192 281 42 200 1687 670 661 10 1104 1092 2 69 693 333 1095 1095 1
461 2880 632 222 340 36 197 1453 854 834 16 1441 1441 1 103 907 474 1484 1484 1
471 2880 685 244 341 22 152 1436 929 907 16 1442 1428 2 86 896 462 1444 1444 1
481 2880 696 251 314 24 182 1413 947 938 9 1430 1430 1 78 908 446 1432 1432 1
491 2880 711 251 344 22 137 1415 962 953 10 1421 1421 1 52 945 439 1436 1436 1
501 2880 720 258 358 11 145 1388 978 962 15 1483 1483 1 60 979 440 1479 1479 1
511 2880 630 220 317 40 244 1429 850 838 12 1367 1355 2 49 926 411 1386 1386 1
521 2880 718 221 450 46 213 1232 939 922 11 1625 1625 1 27 1208 456 1691 1691 1
531 2880 875 277 343 31 155 1199 1152 1143 8 1695 1683 2 51 1155 500 1706 1706 1
541 2880 946 288 350 17 133 1146 1234 1219 15 1768 1768 1 47 1201 505 1753 1753 1
551 2880 869 231 369 51 211 1149 1100 1092 8 1674 1674 1 2 1263 458 1723 1723 1
561 2880 1071 275 300 17 117 1100 1346 1337 10 1850 1850 1 43 1303 493 1839 1839 1
571 2880 981 269 341 10 117 1162 1250 1238 9 1799 1799 1 51 1212 513 1776 1776 1
581 2880 940 261 344 17 125 1193 1201 1193 9 1720 1720 1 53 1185 509 1747 1747 1
591 2880 827 239 322 38 239 1215 1066 1063 3 1567 1567 1 4 1148 458 1610 1610 1
601 2880 552 225 304 30 249 1520 777 765 12 1261 1249 2 68 815 420 1303 1291 2
611 2880 363 164 282 63 339 1669 527 517 11 1044 1044 1 65 643 327 1035 1035 1
621 2880 370 198 271 42 279 1720 568 554 13 1048 1024 3 115 573 343 1031 1031 1
631 2880 364 165 263 53 332 1703 529 520 9 1044 1008 3 101 614 339 1054 1054 1
641 2880 464 205 291 40 235 1645 669 658 11 1167 1155 2 93 710 377 1180 1168 2
651 2880 585 222 308 34 220 1511 807 793 13 1298 1298 1 65 866 389 1320 1320 1
661 2880 447 189 312 62 313 1557 636 626 10 1231 1219 2 82 815 394 1291 1291 1
671 2880 1002 350 329 24 131 1044 1352 1344 9 1864 1864 1 152 1075 660 1887 1887 1
681 2880 991 320 299 18 120 1132 1311 1297 15 1829 1816 2 104 1175 578 1857 1857 1
691 2880 1073 375 326 16 120 970 1448 1440 8 1939 1939 1 156 1179 628 1963 1963 1
701 2880 1063 383 343 20 90 981 1446 1429 16 2022 2022 1 156 1191 680 2027 2027 1
711 2880 1131 332 328 21 98 970 1463 1455 8 1987 1987 1 87 1302 647 2036 2036 1
721 2880 1282 376 354 14 79 775 1658 1645 13 2217 2217 1 77 1450 690 2217 2217 1
731 2880 1331 377 344 8 53 767 1708 1695 13 2239 2239 1 104 1429 722 2255 2255 1
741 2880 1316 361 367 7 79 750 1677 1669 8 2229 2229 1 95 1450 701 2246 2246 1
751 2880 1344 381 360 5 50 740 1725 1713 12 2267 2267 1 118 1454 712 2284 2284 1
761 2880 1340 373 347 5 60 755 1713 1694 18 2264 2264 1 133 1425 717 2275 2275 1
771 2880 1316 379 342 5 60 778 1695 1686 9 2261 2261 1 116 1422 716 2254 2254 1
781 2880 1368 388 323 7 55 739 1756 1743 9 2271 2271 1 123 1419 736 2278 2278 1
791 2880 1281 368 336 11 87 797 1649 1641 9 2181 2181 1 114 1384 713 2211 2211 1
801 2880 1437 416 350 6 61 610 1853 1843 9 2389 2389 1 144 1465 811 2420 2420 1
811 2880 1426 418 348 6 63 619 1844 1831 11 2377 2377 1 145 1470 787 2402 2402 1
821 2880 1467 454 370 9 40 540 1921 1911 11 2453 2453 1 140 1519 803 2462 2462 1
