# Nucleation_trajectory-3 nframes 1551 last 1551 stride 10
# frame nop chill_cubic chill_hex chill_interfacial chill_clathrate chill_interclathrate chill_water chill_ice chill_max chill_clus cut_ice cut_max cut_clus seed_ih seed_ic seed_both seed_ice seed_max seed_clus
1 2880 12 17 99 66 336 2350 29 3 19 127 45 7 30 90 6 126 50 5
11 2880 18 26 185 47 323 2281 44 6 33 245 72 10 62 177 6 245 72 8
21 2880 22 48 270 38 255 2247 70 8 43 391 147 9 80 281 10 371 127 7
31 2880 45 53 264 31 215 2272 98 14 51 419 175 7 116 252 35 403 307 5
41 2880 52 50 272 28 270 2208 102 20 50 397 251 5 127 245 41 413 277 6
51 2880 49 53 273 21 224 2260 102 38 38 440 151 6 138 302 55 495 326 3
61 2880 51 62 267 30 189 2281 113 29 48 538 359 6 176 308 42 526 393 5
71 2880 41 60 308 24 204 2243 101 17 49 559 163 10 185 292 41 518 160 8
81 2880 48 63 340 13 202 2214 111 15 59 479 387 7 187 291 41 519 415 8
91 2880 79 71 351 15 216 2148 150 24 69 582 455 7 153 325 70 548 433 5
101 2880 55 53 268 26 227 2251 108 20 43 509 449 5 178 319 51 548 476 6
111 2880 56 53 259 36 264 2212 109 23 42 492 390 6 137 332 39 508 293 6
121 2880 63 54 282 26 220 2235 117 28 48 414 354 5 94 337 28 459 411 4
131 2880 53 47 302 22 203 2253 100 16 47 471 415 5 101 335 17 453 383 5
141 2880 47 46 226 42 244 2275 93 19 40 403 230 7 102 318 24 444 396 5
151 2880 60 49 216 43 280 2232 109 24 48 356 226 4 61 257 27 345 295 2
161 2880 49 47 198 46 232 2308 96 25 43 350 282 2 80 249 30 359 270 2
171 2880 43 39 183 39 263 2313 82 30 36 340 249 5 47 237 37 321 256 3
181 2880 40 51 233 25 221 2310 91 30 45 335 229 6 57 240 27 324 246 4
191 2880 30 70 223 32 240 2285 100 28 46 403 296 7 126 246 28 400 284 6
201 2880 44 61 274 28 207 2266 105 38 44 406 256 9 118 236 34 388 290 5
211 2880 43 60 272 32 220 2253 103 28 42 389 269 7 101 202 39 342 230 6
221 2880 38 64 253 22 206 2297 102 39 45 348 238 6 98 192 34 324 238 5
231 2880 41 65 245 33 211 2285 106 39 44 358 202 8 110 224 34 368 256 7
241 2880 45 57 254 29 211 2284 102 36 51 351 203 10 116 222 28 366 238 7
251 2880 32 49 238 27 205 2329 81 26 41 369 223 8 128 220 28 376 238 7
261 2880 35 60 277 23 193 2292 95 32 47 338 219 4 102 219 28 349 226 5
271 2880 47 55 267 28 214 2269 102 38 42 342 251 5 118 206 34 358 243 4
281 2880 47 58 265 20 201 2289 105 37 40 357 261 5 132 206 33 371 253 5
291 2880 43 60 274 19 191 2293 103 39 50 332 226 5 109 214 25 348 230 5
301 2880 29 68 253 22 204 2304 97 30 44 330 225 5 103 212 31 346 240 5
311 2880 28 57 244 24 218 2309 85 23 46 335 232 5 112 210 28 350 232 5
321 2880 27 48 226 20 207 2352 75 24 40 311 151 7 126 167 24 317 199 5
331 2880 32 58 206 22 202 2360 90 32 47 309 173 6 86 198 18 302 182 5
341 2880 31 52 214 17 180 2386 83 29 37 300 193 5 94 180 22 296 197 5
351 2880 25 43 182 17 188 2425 68 24 38 308 204 5 82 173 22 277 194 4
361 2880 27 46 210 22 207 2368 73 28 37 284 187 5 92 154 26 272 187 4
371 2880 30 59 200 19 193 2379 89 29 54 256 183 4 78 160 28 266 193 4
381 2880 30 45 232 12 185 2376 75 26 40 269 195 5 91 170 39 300 215 5
391 2880 26 55 198 14 209 2378 81 26 39 252 166 4 95 140 35 270 137 5
401 2880 24 40 193 18 199 2406 64 24 36 284 190 6 110 133 28 271 178 4
411 2880 22 35 159 24 182 2458 57 23 30 229 179 4 80 119 26 225 175 4
421 2880 16 42 198 18 224 2382 58 25 33 251 189 4 98 103 30 231 193 3
431 2880 26 30 174 30 204 2416 56 22 30 259 114 8 101 119 37 257 197 3
441 2880 26 56 237 20 179 2362 82 27 43 245 197 3 104 119 34 257 209 3
451 2880 25 36 175 18 214 2412 61 27 28 256 188 4 98 107 30 235 191 3
461 2880 26 48 234 27 214 2331 74 25 40 288 208 4 108 128 42 278 212 3
471 2880 32 53 210 27 228 2330 85 43 35 312 202 6 120 119 51 290 237 3
481 2880 34 51 231 23 203 2338 85 32 43 274 206 6 100 159 38 297 201 6
491 2880 32 52 230 23 173 2370 84 38 40 281 162 7 88 150 38 276 208 4
501 2880 32 42 216 19 216 2355 74 33 36 243 193 4 104 127 44 275 221 4
511 2880 34 45 223 22 215 2341 79 37 34 256 226 3 110 160 40 310 258 4
521 2880 32 43 196 24 257 2328 75 38 32 330 238 7 105 167 42 314 212 7
531 2880 32 34 159 28 263 2364 66 34 28 219 145 5 60 135 20 215 140 4
541 2880 27 31 141 43 317 2321 58 33 21 201 105 5 56 114 25 195 169 3
551 2880 44 46 167 34 281 2308 90 37 27 289 263 3 127 192 29 348 144 6
561 2880 60 55 237 36 258 2234 115 29 41 434 420 2 105 292 49 446 416 3
571 2880 79 61 255 37 276 2172 140 82 35 444 408 4 114 299 93 506 480 3
581 2880 57 53 181 63 361 2165 110 32 25 406 380 3 98 228 102 428 414 2
591 2880 76 74 236 55 299 2140 150 117 24 544 436 9 127 274 87 488 422 6
601 2880 67 55 197 69 387 2105 122 94 20 369 327 3 46 237 102 385 355 3
611 2880 81 75 227 39 269 2189 156 122 29 528 464 4 128 304 99 531 490 3
621 2880 100 93 289 38 252 2108 193 148 35 504 480 3 100 331 99 530 506 3
631 2880 86 74 249 33 270 2168 160 125 28 516 466 5 99 314 113 526 478 4
641 2880 97 87 311 25 229 2131 184 125 42 551 527 3 81 330 143 554 542 2
651 2880 98 93 267 32 239 2151 191 152 30 598 560 4 109 336 160 605 605 1
661 2880 108 92 336 17 175 2152 200 147 46 630 606 3 117 364 144 625 625 1
671 2880 97 92 344 20 193 2134 189 72 49 646 610 4 134 366 146 646 622 3
681 2880 133 110 338 17 177 2105 243 175 40 635 635 1 104 379 163 646 646 1
691 2880 113 111 333 10 206 2107 224 157 47 638 638 1 128 403 163 694 682 2
701 2880 124 116 334 31 260 2015 240 172 51 687 647 4 148 412 174 734 694 4
711 2880 120 110 332 48 331 1939 230 188 32 721 709 2 128 411 190 729 729 1
721 2880 143 97 293 50 298 1999 240 212 25 757 695 6 114 367 229 710 672 4
731 2880 140 126 271 48 347 1948 266 215 26 662 638 3 76 343 244 663 663 1
741 2880 197 135 323 29 256 1940 332 289 26 798 798 1 127 374 277 778 778 1
751 2880 234 166 321 33 235 1891 400 372 25 925 925 1 177 452 302 931 931 1
761 2880 239 171 372 27 168 1903 410 324 49 934 934 1 190 539 259 988 960 3
771 2880 251 173 339 17 184 1916 424 361 32 884 860 3 130 498 258 886 874 2
781 2880 234 159 366 11 161 1949 393 338 31 895 847 5 158 492 250 900 864 4
791 2880 236 165 380 22 158 1919 401 334 44 877 829 5 131 505 252 888 864 3
801 2880 219 145 369 20 152 1975 364 308 38 861 849 2 140 524 254 918 892 3
811 2880 248 177 368 10 169 1908 425 365 37 952 917 3 166 520 261 947 935 2
821 2880 224 163 352 34 209 1898 387 332 35 893 893 1 128 518 258 904 904 1
831 2880 209 148 369 17 167 1970 357 298 37 850 806 4 134 490 264 888 868 2
841 2880 230 172 383 19 177 1899 402 339 48 921 875 4 153 485 267 905 873 3
851 2880 212 155 369 19 154 1971 367 296 44 864 840 3 126 494 267 887 867 2
861 2880 193 145 348 21 169 2004 338 283 36 839 827 2 153 471 253 877 857 2
871 2880 213 151 331 30 218 1937 364 329 26 856 820 4 129 478 270 877 853 2
881 2880 227 163 356 39 241 1854 390 362 25 929 891 4 121 480 298 899 899 1
891 2880 227 171 361 36 228 1857 398 347 35 938 926 2 105 543 316 964 964 1
901 2880 248 184 377 22 218 1831 432 390 27 970 958 2 121 515 345 981 969 2
911 2880 255 202 411 20 183 1809 457 400 41 1012 982 3 156 529 344 1029 999 3
921 2880 282 190 402 14 159 1833 472 401 32 1050 1014 4 139 523 365 1027 1015 2
931 2880 269 190 452 22 184 1763 459 413 39 1065 1053 2 166 547 387 1100 1076 3
941 2880 274 207 448 21 150 1780 481 416 32 1051 1027 3 167 560 381 1108 1072 4
951 2880 287 196 429 10 178 1780 483 411 43 1096 1040 5 156 566 388 1110 1066 4
961 2880 263 190 438 21 158 1810 453 400 45 1066 1030 4 161 570 376 1107 1059 4
971 2880 257 191 453 18 164 1797 448 388 44 1094 1070 3 156 565 371 1092 1068 3
981 2880 255 181 453 16 139 1836 436 372 40 1087 1037 5 151 570 365 1086 1086 1
991 2880 290 219 455 13 144 1759 509 428 48 1079 1043 4 175 560 367 1102 1078 3
1001 2880 277 207 445 16 167 1768 484 392 39 1063 1051 2 171 553 377 1101 1089 2
1011 2880 296 219 451 17 150 1747 515 461 37 1137 1137 1 171 601 389 1161 1137 3
1021 2880 297 194 418 24 188 1759 491 418 48 1073 1073 1 125 599 385 1109 1109 1
1031 2880 303 212 372 37 245 1711 515 493 20 1096 1096 1 178 577 400 1155 1155 1
1041 2880 314 218 351 56 293 1648 532 481 23 1093 1081 2 116 557 418 1091 1091 1
1051 2880 353 235 395 31 226 1640 588 549 26 1096 1096 1 107 572 441 1120 1120 1
1061 2880 353 245 424 29 176 1653 598 542 41 1230 1218 2 183 585 540 1308 1308 1
1071 2880 345 239 407 42 231 1616 584 509 37 1176 1176 1 142 576 503 1221 1221 1
1081 2880 383 267 393 29 196 1612 650 600 38 1212 1212 1 134 605 521 1260 1260 1
1091 2880 360 239 368 29 235 1649 599 543 33 1154 1154 1 104 596 491 1191 1191 1
1101 2880 356 247 372 34 220 1651 603 577 23 1134 1134 1 87 574 493 1154 1154 1
1111 2880 316 201 332 53 269 1709 517 484 25 984 984 1 62 553 426 1041 1041 1
1121 2880 324 212 344 31 273 1696 536 501 27 1056 1056 1 87 548 465 1100 1088 2
1131 2880 339 227 337 30 218 1729 566 539 22 1053 1053 1 55 527 473 1055 1055 1
1141 2880 347 212 342 29 250 1700 559 541 18 1049 1037 2 47 539 459 1045 1045 1
1151 2880 317 217 345 29 242 1730 534 510 20 1046 1034 2 47 528 453 1028 1028 1
1161 2880 349 230 281 50 276 1694 579 551 19 1068 1068 1 94 483 494 1071 1071 1
1171 2880 426 242 285 56 286 1585 668 661 7 1145 1145 1 88 556 507 1151 1151 1
1181 2880 411 251 291 33 249 1645 662 651 12 1124 1124 1 70 529 535 1134 1134 1
1191 2880 468 292 339 54 266 1461 760 734 15 1309 1309 1 106 618 603 1327 1327 1
1201 2880 507 310 372 36 189 1466 817 786 26 1348 1336 2 95 641 627 1363 1363 1
1211 2880 512 307 360 23 213 1465 819 795 25 1383 1383 1 128 612 645 1385 1385 1
1221 2880 511 327 383 23 167 1469 838 815 24 1440 1440 1 123 653 659 1435 1435 1
1231 2880 532 329 383 23 154 1459 861 845 15 1413 1401 2 125 650 647 1422 1422 1
1241 2880 517 314 380 29 165 1475 831 810 22 1393 1393 1 130 614 646 1390 1390 1
1251 2880 504 307 376 26 214 1453 811 794 17 1378 1378 1 130 628 645 1403 1403 1
1261 2880 492 298 354 52 279 1405 790 767 18 1371 1359 2 100 654 626 1380 1380 1
1271 2880 556 316 358 27 221 1402 872 850 21 1408 1408 1 115 674 643 1432 1432 1
